date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:40	62562/62562	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:17:12%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/08-login.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/08-login.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:41	63319/63319	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:16:50%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/09-register.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/09-register.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:41	69740/69740	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:16:22%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/10-wishlist.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/10-wishlist.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:42	69470/69470	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:15:56%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/11-compare.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/11-compare.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:42	61762/61762	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:13:56%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/15-track-order.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/15-track-order.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:43	64858/64858	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:15:28%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/12-terms-condition.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/12-terms-condition.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:43	65018/65018	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:15:04%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/13-faq.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/13-faq.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:44	59258/59258	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:14:38%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/14-404.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/14-404.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:44	68077/68077	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:13:16%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/16-blog-one.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/16-blog-one.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:44	65647/65647	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:09:10%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/17-blog-two.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/17-blog-two.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:45	71788/71788	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:07:38%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/18-blog-three.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/18-blog-three.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:45	74644/74644	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:06:10%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/19-blog-details.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/19-blog-details.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:46	65298/65298	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202020%2017:04:22%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/20-contact.html	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/20-contact.html	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:46	865/865	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Nov%202018%2018:02:16%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/heart.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/heart.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:47	504/504	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2014:59:40%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/m-cloth.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/m-cloth.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:47	10200/10200	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Jan%202019%2023:28:12%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/ipn.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/ipn.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:48	633/633	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:06:30%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/w-cloth.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/w-cloth.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:50	11391/11391	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Jan%202019%2023:29:26%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/pbank.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/pbank.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
20:16:50	621/621	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jul%202018%2015:37:12%20GMT	http://www.thetahmid.com/themes/xemart-v1.0/images/sm.png	C:/My%20Web%20Sites/Shopping/www.thetahmid.com/themes/xemart-v1.0/images/sm.png	(from http://www.thetahmid.com/themes/xemart-v1.0/)
